Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  0.01
Net coarse_mvp2m | Start training | lr =  1e-05
Net coarse_mvp2m | Start training | lr =  0.001
Net coarse_mvp2m | Start training | lr =  1e-07
Net coarse_mvp2m | Start training | lr =  1e-05
